case,repetitions,completed_mean,completed_stdev,request_throughput_mean,request_throughput_stdev,input_throughput_mean,input_throughput_stdev,output_throughput_mean,output_throughput_stdev,total_throughput_mean,total_throughput_stdev,e2e_p99_ms_mean,e2e_p99_ms_stdev,ttft_p99_ms_mean,ttft_p99_ms_stdev,tpot_p99_ms_mean,tpot_p99_ms_stdev,itl_p99_ms_mean,itl_p99_ms_stdev,retraction_events_mean,retraction_events_stdev,retracted_requests_mean,retracted_requests_stdev,cache_hit_rate_mean,cache_hit_rate_stdev,mixed_prefill_chunk_size_mean,mixed_prefill_chunk_size_stdev
qwen3_8b_w8a8__prefill_off__short_prefill_128,3,160.0,0.0,22.714568129533745,0.03888945311937562,2907.4647205803194,4.977849999280079,22.714568129533745,0.03888945311937562,2930.1792887098527,5.016739452399233,44.70679757350505,0.11828568486884371,44.69602007011721,0.1173339691145767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
qwen3_8b_w8a8__prefill_off__short_prefill_160,3,160.0,0.0,18.37420321311011,0.023673258572619846,2939.872514097618,3.787721371619193,18.37420321311011,0.023673258572619846,2958.2467173107275,3.811394630191665,55.29751148662399,0.07442064498155661,55.287113966657365,0.07512680755089969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
qwen3_8b_w8a8__prefill_off__short_prefill_96,3,160.0,0.0,23.661013914269276,0.109990891927092,2271.4573357698505,10.559125625001073,23.661013914269276,0.109990891927092,2295.11834968412,10.669116516928076,42.997630746507035,0.04565620210737978,42.98775027310512,0.04556932967817688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0
