case,repetitions,completed_mean,completed_stdev,request_throughput_mean,request_throughput_stdev,input_throughput_mean,input_throughput_stdev,output_throughput_mean,output_throughput_stdev,total_throughput_mean,total_throughput_stdev,e2e_p99_ms_mean,e2e_p99_ms_stdev,ttft_p99_ms_mean,ttft_p99_ms_stdev,tpot_p99_ms_mean,tpot_p99_ms_stdev,itl_p99_ms_mean,itl_p99_ms_stdev,retraction_events_mean,retraction_events_stdev,retracted_requests_mean,retracted_requests_stdev,cache_hit_rate_mean,cache_hit_rate_stdev,mixed_prefill_chunk_size_mean,mixed_prefill_chunk_size_stdev
qwen3_8b_w8a8__prefill_off__short_prefill_128,3,160.0,0.0,32.4309545973859,0.257700510614941,4151.162188465395,32.985665358712446,32.4309545973859,0.257700510614941,4183.593143062782,33.24336586932725,31.778519710220888,0.4425972630234853,31.764805386671167,0.4397503369399204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
qwen3_8b_w8a8__prefill_off__short_prefill_160,3,160.0,0.0,24.519118214184118,0.02882621152248192,3923.058914269459,4.612193843596891,24.519118214184118,0.02882621152248192,3947.5780324836433,4.641020055119355,42.014801119952004,0.18936230532386258,42.00427123325729,0.19006884117518724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
qwen3_8b_w8a8__prefill_off__short_prefill_96,3,160.0,0.0,34.423988098879065,0.2505520975336564,3304.70285749239,24.053001363231157,34.423988098879065,0.2505520975336564,3339.126845591269,24.30355346076484,29.83691164330594,0.24507477358126625,29.82606537011634,0.24435763525210968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
