case,repetitions,completed_mean,completed_stdev,request_throughput_mean,request_throughput_stdev,input_throughput_mean,input_throughput_stdev,output_throughput_mean,output_throughput_stdev,total_throughput_mean,total_throughput_stdev,e2e_p99_ms_mean,e2e_p99_ms_stdev,ttft_p99_ms_mean,ttft_p99_ms_stdev,tpot_p99_ms_mean,tpot_p99_ms_stdev,itl_p99_ms_mean,itl_p99_ms_stdev,retraction_events_mean,retraction_events_stdev,retracted_requests_mean,retracted_requests_stdev,cache_hit_rate_mean,cache_hit_rate_stdev,mixed_prefill_chunk_size_mean,mixed_prefill_chunk_size_stdev
qwen3_8b_w8a8__prefill_on__short_prefill_128,3,160.0,0.0,36.63209524653163,0.2177292450880048,4688.908191556048,27.869343371264616,36.63209524653163,0.2177292450880048,4725.54028680258,28.0870726163527,28.126454356394486,0.36179256920189345,28.1153582631426,0.3608847843442872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
qwen3_8b_w8a8__prefill_on__short_prefill_160,3,160.0,0.0,24.502601523262417,0.20894126446701017,3920.416243721987,33.43060231472151,24.502601523262417,0.20894126446701017,3944.9188452452495,33.63954357918847,42.02686743325709,0.3523781338357002,41.965822573498976,0.28619765843493417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
qwen3_8b_w8a8__prefill_on__short_prefill_96,3,160.0,0.0,36.4820716087997,0.16113225155614766,3502.278874444771,15.468696149390176,36.4820716087997,0.16113225155614766,3538.7609460535714,15.629828400946309,28.227233597068942,0.10997863407332704,28.216844023663725,0.10993077757489006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
