name,count,total_ms,mean_us,category_time_pct
sglang::unified_attention_with_output,36,14.048417000000002,390.23380555555565,19.991990917917228
aten::slice,1514,6.816861000000007,4.502550198150599,9.700923826556705
aten::copy_,541,6.375724000000001,11.785072088724586,9.073151537511087
aten::clone,87,3.7493779999999997,43.09629885057471,5.335656745086556
aten::index_put_,150,3.7090860000000005,24.727240000000005,5.2783180927626185
aten::add,300,3.221819000000001,10.73939666666667,4.584899222963924
aten::_index_put_impl_,150,3.216875,21.445833333333333,4.577863526123617
aten::cumsum,101,2.9080069999999996,28.79214851485148,4.138320319879436
aten::argmax,50,2.8818129999999997,57.63625999999999,4.101044218941948
aten::to,419,2.7258869999999984,6.505696897374698,3.8791493836827735
aten::_to_copy,161,2.3797340000000005,14.780956521739133,3.3865467201791373
aten::empty_strided,310,2.169459,6.998254838709677,3.0873090274010075
aten::index,50,2.0779680000000007,41.55936000000001,2.9571102127536957
aten::empty,276,1.6410340000000003,5.945775362318842,2.3353191198690486
aten::as_strided,1870,1.4204129999999973,0.7595791443850253,2.021358263759647
aten::sum,100,1.4066740000000002,14.066740000000003,2.001806597317712
aten::empty_like,134,1.3502409999999998,10.076425373134327,1.9214980455804713
aten::contiguous,36,1.193587,33.15519444444445,1.6985672096538753
aten::_foreach_copy_,50,1.144923,22.89846,1.6293145496545653
aten::view,724,1.0744329999999997,1.484023480662983,1.5290017927223083
aten::sub,106,1.0313379999999999,9.729603773584905,1.4676742532132205
sglang::store_cache,36,1.0190810000000001,28.30780555555556,1.4502315881299654
aten::reshape,250,0.5133589999999997,2.0534359999999987,0.7305498167965161
aten::mul,50,0.4721370000000001,9.44274,0.6718877020815004
aten::select,55,0.36824099999999993,6.695290909090907,0.5240356068306312
aten::ones,49,0.2811290000000001,5.737326530612246,0.4000684500440977
aten::clamp,50,0.2543520000000001,5.087040000000001,0.36196269472596687
aten::record_stream,50,0.19549199999999997,3.909839999999999,0.2782003330713683
aten::item,56,0.16065500000000002,2.8688392857142864,0.22862457036390593
aten::matmul,1,0.081499,81.499,0.11597942087135767
aten::mm,1,0.078414,78.414,0.11158922573536657
aten::fill_,101,0.06460300000000001,0.6396336633663368,0.09193509768895718
aten::cat,1,0.058536000000000005,58.536,0.08330128443448132
aten::_local_scalar_dense,56,0.052646000000000005,0.940107142857143,0.07491935595766201
aten::resolve_conj,49,0.026782000000000004,0.5465714285714286,0.038112870707330174
aten::max,2,0.020721,10.3605,0.029487595919893524
aten::unbind,2,0.015167,7.5835,0.02158382159726968
aten::lift_fresh,51,0.014771000000000001,0.28962745098039216,0.02102028277268217
aten::narrow,1,0.014164,14.164,0.020156474523882625
aten::numpy_T,1,0.010508,10.508,0.014953701941327209
aten::resolve_neg,49,0.008878999999999998,0.181204081632653,0.012635508140183124
aten::permute,1,0.007280999999999999,7.281,0.010361429752074935
aten::detach_,2,0.005443000000000001,2.7215000000000003,0.007745812682398555
detach_,2,0.0026939999999999998,1.347,0.0038337717006029217
