name,count,total_ms,mean_us,category_time_pct
sglang::unified_attention_with_output,108,42.401136,392.6031111111111,54.50356341563292
aten::copy_,331,5.9389789999999945,17.9425347432024,7.634123730803154
aten::slice,943,3.961897000000008,4.201375397667029,5.092729222766726
aten::clone,113,3.625653,32.08542477876106,4.660512119500282
aten::contiguous,108,3.5682829999999983,33.0396574074074,4.586767174714961
sglang::store_cache,108,2.8665429999999996,26.54206481481481,3.684731658702225
aten::to,140,1.9691679999999994,14.06548571428571,2.5312216390625717
aten::empty,276,1.8582950000000005,6.732952898550726,2.388702495552327
aten::view,1050,1.8294680000000014,1.7423504761904776,2.351647492531125
aten::_to_copy,65,1.79582,27.628,2.308395446128187
aten::empty_like,112,1.0342679999999997,9.234535714285713,1.3294759726899728
aten::as_strided,993,0.7924400000000006,0.7980261832829815,1.0186237414272152
aten::cumsum,13,0.7117040000000001,54.746461538461546,0.9148435102578293
aten::zero_,39,0.6587339999999998,16.89061538461538,0.8467544441034205
aten::fill_,49,0.5158539999999999,10.527632653061223,0.6630926398341757
aten::empty_strided,74,0.468106,6.325756756756757,0.6017160732730903
aten::sub,28,0.4281390000000001,15.290678571428575,0.5503414138999877
aten::index_put_,15,0.37613899999999995,25.07593333333333,0.48349921189830264
aten::_index_put_impl_,15,0.313189,20.87926666666667,0.40258158466741695
aten::argmax,5,0.31245999999999996,62.492,0.4016445084124317
aten::index,7,0.281908,40.27257142857143,0.3623721438825188
aten::add,22,0.273369,12.425863636363635,0.35139588305766517
aten::matmul,3,0.230716,76.90533333333333,0.2965685668657832
aten::mm,3,0.22155000000000002,73.85000000000001,0.28478634333602465
aten::pin_memory,2,0.188973,94.4865,0.24291098920893064
aten::_foreach_copy_,5,0.15195,30.389999999999997,0.1953206268106926
aten::select,18,0.12858,7.143333333333334,0.16528019871878155
aten::sum,4,0.10941,27.3525,0.14063856386546808
aten::_pin_memory,2,0.103686,51.843,0.13328077993743648
aten::max,6,0.093331,15.555166666666667,0.11997018375037019
aten::reshape,25,0.06207999999999998,2.483199999999999,0.07979930577431914
aten::item,20,0.061621999999999996,3.0810999999999997,0.07921058022591969
aten::mul,5,0.061298000000000005,12.2596,0.07879410189037074
aten::is_pinned,2,0.052986000000000005,26.493000000000002,0.06810963298579374
aten::detach_,28,0.051081999999999995,1.8243571428571426,0.0656621800509628
aten::unbind,6,0.046599,7.766500000000001,0.059899610982240635
aten::clamp,5,0.045425,9.084999999999999,0.05839051972935643
aten::record_stream,5,0.034141000000000005,6.828200000000001,0.043885761894990834
aten::numpy_T,3,0.032003,10.667666666666667,0.041137519051152316
aten::permute,3,0.023356000000000002,7.785333333333334,0.03002243211444907
detach_,28,0.021890999999999997,0.7818214285714286,0.028139281615747753
aten::ones,2,0.020082,10.041,0.025813944242266063
aten::add_,2,0.018951999999999997,9.475999999999999,0.024361411775690987
aten::_local_scalar_dense,20,0.018916999999999996,0.9458499999999999,0.024316421832036007
aten::lift_fresh,36,0.016554999999999993,0.4598611111111109,0.02128024334880562
aten::resolve_conj,6,0.008761999999999999,1.460333333333333,0.011262911037283897
aten::set_,2,0.008271,4.1355,0.010631766399152606
aten::resolve_neg,6,0.001393,0.23216666666666666,0.0017905997574682116
