name,count,total_ms,mean_us,category_time_pct
sglang::unified_attention_with_output,180,69.91323999999997,388.4068888888888,39.56871096400148
aten::copy_,540,27.359498999999992,50.665738888888875,15.484622198182885
aten::to,245,20.82418799999999,84.99668571428566,11.78584022185251
aten::_to_copy,120,20.484089999999988,170.7007499999999,11.593355372610294
aten::contiguous,180,6.377989999999997,35.43327777777776,3.6097432023074854
aten::clone,185,6.219083000000002,33.61666486486488,3.5198068018037127
aten::slice,1430,5.946333000000009,4.158274825174831,3.3654388177790677
sglang::store_cache,180,4.958286999999998,27.546038888888877,2.8062356311846792
aten::view,1655,2.946758999999996,1.780519033232626,1.6677735884014233
aten::empty,465,2.8532070000000016,6.135929032258068,1.6148260773419438
aten::empty_like,180,1.8867839999999987,10.482133333333326,1.067860833620392
aten::as_strided,1490,1.1714969999999985,0.7862395973154352,0.6630307247696544
aten::cumsum,15,0.9656,64.37333333333333,0.5464994514177836
aten::sub,40,0.6062479999999999,15.156199999999998,0.343117439336297
aten::empty_strided,125,0.6006559999999996,4.805247999999997,0.3399525419333057
aten::matmul,5,0.37268399999999996,74.5368,0.21092750782123576
aten::mm,5,0.356557,71.3114,0.20180012934876826
aten::pin_memory,5,0.332512,66.5024,0.1881914100971728
aten::index,10,0.30613000000000007,30.613000000000007,0.17326002181288952
aten::index_put_,10,0.24966500000000003,24.966500000000003,0.14130259479931748
aten::argmax,5,0.244044,48.808800000000005,0.13812128430178292
aten::_pin_memory,5,0.19704,39.408,0.11151848789080371
aten::_index_put_impl_,10,0.193166,19.3166,0.10932592484731521
aten::select,30,0.19106999999999996,6.368999999999999,0.10813965428997088
aten::_foreach_copy_,5,0.176951,35.3902,0.10014874112244014
aten::detach_,65,0.12859199999999998,1.9783384615384614,0.07277905701813962
aten::is_pinned,5,0.11102499999999998,22.205,0.06283668350627528
aten::max,10,0.092714,9.2714,0.05247322922405591
aten::item,30,0.071264,2.3754666666666666,0.040333198949706835
aten::unbind,10,0.070615,7.0615,0.039965885213200894
aten::mul,5,0.065243,13.048599999999999,0.03692550094122872
detach_,65,0.05972799999999999,0.9188923076923075,0.03380418313409421
aten::numpy_T,5,0.057615,11.523,0.0326082911075348
aten::reshape,20,0.055028000000000014,2.7514000000000007,0.03114412988050725
aten::clamp,5,0.046900000000000004,9.38,0.026543935658133858
aten::add_,5,0.046138,9.227599999999999,0.026112667449786346
aten::permute,5,0.041210000000000004,8.242,0.023323573314961536
aten::lift_fresh,80,0.030020000000000012,0.37525000000000014,0.016990382696315108
aten::_local_scalar_dense,30,0.022025,0.7341666666666666,0.012465462321330448
aten::add,5,0.018771,3.7542,0.01062379991980449
aten::set_,5,0.017247,3.4494,0.009761263503109479
aten::resolve_conj,10,0.009821,0.9821,0.005558379362442059
aten::fill_,10,0.008842,0.8841999999999999,0.005004295929407665
aten::resolve_neg,10,0.002114,0.21139999999999998,0.0011964579953367797
