name,count,total_ms,mean_us,category_time_pct
aten::copy_,180,2.8839190000000006,16.021772222222225,11.251468408586476
aten::slice,500,2.766229999999999,5.532459999999998,10.792310552371319
aten::clone,20,2.060247,103.01235,8.037952534167934
aten::index_put_,60,1.8969209999999999,31.615349999999996,7.400744162746685
aten::add,120,1.7332900000000004,14.444083333333337,6.762345848797713
aten::_index_put_impl_,60,1.6419909999999998,27.366516666666662,6.406147282112745
aten::argmax,20,1.4564090000000003,72.82045000000002,5.6821082192256505
aten::cumsum,40,1.400034,35.00085,5.46216392414175
aten::to,160,1.266503,7.915643749999999,4.941199282601207
aten::empty_strided,120,1.2150839999999992,10.125699999999993,4.740590578230136
aten::index,20,1.164893,58.24465,4.5447728555772615
aten::_to_copy,60,1.1024060000000004,18.37343333333334,4.300982892527905
aten::sum,40,0.8446480000000001,21.1162,3.295352708718846
aten::_foreach_copy_,20,0.588141,29.407050000000005,2.2946032399989242
aten::as_strided,640,0.571764,0.89338125,2.2307091784363693
aten::empty_like,40,0.5026009999999999,12.565024999999997,1.9608731291079837
aten::sub,40,0.46785899999999997,11.696475,1.8253289215726438
aten::empty,80,0.4397970000000002,5.497462500000003,1.7158464061199732
aten::reshape,100,0.29613699999999993,2.9613699999999996,1.1553639683061734
aten::mul,20,0.295478,14.773900000000001,1.152792912156102
aten::ones,20,0.19883900000000004,9.941950000000002,0.775760597608645
aten::select,20,0.18112599999999998,9.056299999999998,0.7066541976295565
aten::clamp,20,0.148416,7.4208,0.5790377383445131
aten::view,100,0.113436,1.13436,0.4425649854924549
aten::record_stream,20,0.10925800000000001,5.4629,0.4262647235880552
aten::item,20,0.10715599999999999,5.357799999999999,0.4180638737740178
aten::fill_,40,0.08649800000000003,2.1624500000000006,0.33746770086327427
aten::_local_scalar_dense,20,0.04519100000000001,2.2595500000000004,0.1763104680999818
aten::resolve_conj,20,0.027858999999999995,1.3929499999999997,0.10869052091782413
aten::lift_fresh,20,0.011401,0.57005,0.04448044183151273
aten::resolve_neg,20,0.007958,0.3979,0.031047746346388762
