case,repetitions,completed_mean,completed_stdev,request_throughput_mean,request_throughput_stdev,input_throughput_mean,input_throughput_stdev,output_throughput_mean,output_throughput_stdev,total_throughput_mean,total_throughput_stdev,e2e_p99_ms_mean,e2e_p99_ms_stdev,ttft_p99_ms_mean,ttft_p99_ms_stdev,tpot_p99_ms_mean,tpot_p99_ms_stdev,itl_p99_ms_mean,itl_p99_ms_stdev,retraction_events_mean,retraction_events_stdev,retracted_requests_mean,retracted_requests_stdev
qwen3_8b_awq__baseline__agent_prefix_4k,3,160.0,0.0,2.689865111315162,0.00041902205549976745,12297.407634312038,1.9156667011197857,344.30273424834076,0.05363482310397023,12641.71036856038,1.9693015242232492,14225.39814841041,32.300395339988434,9169.378176053522,29.412989246322834,85.09821270422664,0.19690594017514565,31.64517709274757,0.5235249567924884,0.0,0.0,0.0,0.0
qwen3_8b_awq__baseline__decode_1k_512,3,160.0,0.0,1.1028652770206084,0.004498711891577071,1129.334043669103,4.60668097697492,564.6670218345515,2.30334048848746,1694.0010655036547,6.910021465462373,14768.923805232795,5.421616313553668,5207.4948088402925,4.885717283127791,27.86120864012354,0.0366507786857158,19.7816356735954,0.007278515211406821,0.0,0.0,0.0,0.0
qwen3_8b_awq__baseline__prefill_8k_64,3,80.0,0.0,0.33274322123068334,0.002218658231092681,2725.832468321758,18.175248229111244,21.295566158763734,0.1419941267899316,2747.1280344805214,18.317242355901346,24842.30996464658,215.1654652339723,22556.86728123673,200.79025568202766,342.0772794278844,2.5839361560534484,5620.961919700127,46.84714289757689,0.0,0.0,0.0,0.0
