name,count,total_ms,mean_us,category_time_pct
cudaLaunchKernelExC,4360,33.92336799999991,7.780588990825667,49.3988615624846
cudaLaunchKernel,3180,24.90901899999995,7.83302484276728,36.272258734401
cudaFuncSetAttribute,2160,4.06178000000001,1.8804537037037086,5.914722497992233
cudaMemcpyAsync,120,2.2619279999999997,18.8494,3.2937964218737936
cudaDeviceGetAttribute,4440,1.9018870000000052,0.4283529279279291,2.7695083996521115
cudaMemsetAsync,20,0.32034900000000005,16.017450000000004,0.4664889377340252
cudaEventQuery,41,0.26446700000000006,6.450414634146343,0.3851141408142508
cudaStreamIsCapturing,240,0.22599499999999983,0.9416458333333326,0.3290916078501913
cudaEventRecordWithFlags,100,0.20794500000000005,2.0794500000000005,0.3028073824394703
cudaDeviceSynchronize,1,0.169064,169.064,0.2461892678580711
cudaStreamWaitEvent,60,0.13612300000000002,2.268716666666667,0.19822092053094817
cudaEventSynchronize,20,0.098644,4.9322,0.14364438401192192
cudaStreamSynchronize,40,0.098298,2.45745,0.1431405423503092
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,20,0.04689,2.3445,0.06828073847693746
cudaEventRecord,20,0.039114,1.9557000000000002,0.05695740679861233
cudaPeekAtLastError,80,0.007497000000000004,0.09371250000000005,0.010917054731533385
