name,count,total_ms,mean_us,category_time_pct
aten::empty,9420,51.03216200000008,5.41742696390659,11.684305197991845
sgl_kernel::int8_scaled_mm,1440,45.404829000000056,31.53113125000004,10.39587308683161
aten::view,18840,39.41242800000006,2.0919547770700673,9.023855139546692
aten::empty_like,3660,38.25365400000005,10.451818032786898,8.75854266715922
sglang::_run_activation_inplace,720,30.108779999999996,41.81775,6.893695286889713
aten::clone,740,27.13786599999999,36.672791891891876,6.213475901064227
aten::contiguous,720,27.080102000000007,37.611252777777786,6.200250276693136
sglang::fused_inplace_qknorm,720,23.06292800000003,32.03184444444449,5.280479582881706
aten::empty_strided,3100,21.70701700000003,7.0022635483871065,4.970030694878209
sglang::store_cache,720,20.094155999999998,27.908549999999998,4.6007506285949376
aten::copy_,980,17.671215999999976,18.031853061224464,4.045995169940793
sglang::apply_rope_inplace,720,16.583833999999996,23.03310277777777,3.7970285838337317
aten::split_with_sizes,720,8.642956999999997,12.00410694444444,1.978888282278141
aten::unbind,20,8.637163999999999,431.85819999999995,1.9775619191110867
aten::unsqueeze,1440,7.2409249999999945,5.028420138888885,1.6578795469368695
aten::is_nonzero,2540,5.877561000000011,2.3140003937007916,1.3457242227717918
aten::select,2580,5.805247000000003,2.2500957364341097,1.3291672357076798
aten::as_strided,6800,5.405978000000034,0.7949967647058873,1.237750751097511
aten::to,340,3.874756000000004,11.3963411764706,0.887162720477139
aten::item,2580,3.667801999999986,1.421628682170537,0.8397786081217695
aten::_to_copy,140,3.4944379999999997,24.960271428571428,0.8000852499147529
aten::gt,2540,3.4019379999999937,1.3393456692913361,0.7789064836533057
aten::slice,420,2.2099449999999994,5.261773809523808,0.5059882011421746
aten::index_put_,60,2.038471000000001,33.97451666666668,0.4667275766457946
aten::matmul,20,1.8147269999999995,90.73634999999999,0.4154992320144327
aten::embedding,20,1.7618500000000001,88.0925,0.4033925333808492
aten::_index_put_impl_,60,1.7585279999999996,29.308799999999994,0.4026319294725191
aten::mm,20,1.6927980000000002,84.63990000000001,0.38758241264695337
aten::index_select,20,1.6363589999999997,81.81794999999998,0.3746601597925776
aten::add,120,1.626282,13.552349999999999,0.37235293354807397
aten::cumsum,40,1.306431,32.660774999999994,0.29911996525088747
aten::argmax,20,1.2070429999999999,60.352149999999995,0.2763641250217784
aten::index,20,1.0370650000000001,51.85325,0.2374460241397454
aten::sum,40,0.8363729999999997,20.909324999999992,0.1914956570203711
aten::_local_scalar_dense,2580,0.810030999999997,0.31396550387596783,0.1854644023083812
aten::gather,20,0.754542,37.7271,0.17275966110750218
aten::_foreach_copy_,20,0.5519080000000001,27.5954,0.12636465437645528
aten::sub,40,0.4339099999999999,10.847749999999998,0.0993478753351785
aten::reshape,100,0.3595460000000001,3.595460000000001,0.08232152101878755
aten::numpy_T,20,0.275733,13.78665,0.06313172710883541
aten::mul,20,0.26418200000000003,13.209100000000001,0.060487014361960155
aten::permute,20,0.20133099999999998,10.06655,0.04609667232630459
aten::clamp,20,0.15878099999999998,7.939049999999999,0.03635443984603945
aten::resize_,20,0.142646,7.132299999999999,0.032660176131137496
aten::record_stream,20,0.116474,5.8237,0.02666784455714222
aten::expand,20,0.10364300000000001,5.182150000000001,0.0237300634771356
aten::fill_,20,0.028326999999999998,1.41635,0.006485739587978156
aten::resolve_conj,20,0.016099999999999996,0.8049999999999999,0.003686250127667889
aten::lift_fresh,20,0.011689,0.58445,0.0026763091765409914
aten::resolve_neg,20,0.005755,0.28775,0.0013176627009148264
