name,count,total_ms,mean_us,category_time_pct
cudaEventSynchronize,4,23.78489,5946.2225,64.97802607017337
cudaGraphLaunch,113,4.340313000000001,38.409849557522136,11.857316610113077
cudaLaunchKernel,323,2.517071,7.79278947368421,6.876395268528775
cudaDeviceSynchronize,1,2.195913,2195.913,5.999022579538211
cudaMemcpyAsync,179,2.0234699999999997,11.304301675977653,5.527924931005092
cudaLaunchKernelExC,110,0.7886429999999999,7.169481818181818,2.1544966326966293
cudaMalloc,1,0.185545,185.545,0.5068910491993159
cudaFuncSetAttribute,108,0.16820999999999992,1.5574999999999992,0.4595335006915675
cudaDeviceGetAttribute,241,0.10743200000000006,0.44577593360995876,0.2934938650870729
cudaEventQuery,60,0.106816,1.7802666666666664,0.2918110124836246
cudaStreamIsCapturing,119,0.09017800000000002,0.7577983193277313,0.2463576007690637
cudaEventRecordWithFlags,51,0.07142199999999999,1.4004313725490192,0.19511801727836123
cudaMemsetAsync,5,0.062123,12.4246,0.16971404591559516
cudaMemGetInfo,1,0.057485999999999995,57.486,0.15704620902892494
cudaStreamWaitEvent,15,0.029449,1.9632666666666665,0.08045182843984293
cudaStreamSynchronize,15,0.025423,1.6948666666666667,0.06945318463873568
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,11,0.019738,1.7943636363636364,0.05392231280334204
cudaPointerGetAttributes,2,0.01754,8.77,0.047917588741038575
cudaEventRecord,5,0.009769,1.9538,0.026687966043968402
cudaPeekAtLastError,44,0.0030820000000000005,0.07004545454545456,0.00841972682439458
