case,repetitions,completed_mean,completed_stdev,request_throughput_mean,request_throughput_stdev,input_throughput_mean,input_throughput_stdev,output_throughput_mean,output_throughput_stdev,total_throughput_mean,total_throughput_stdev,e2e_p99_ms_mean,e2e_p99_ms_stdev,ttft_p99_ms_mean,ttft_p99_ms_stdev,tpot_p99_ms_mean,tpot_p99_ms_stdev,itl_p99_ms_mean,itl_p99_ms_stdev,retraction_events_mean,retraction_events_stdev,retracted_requests_mean,retracted_requests_stdev,cache_hit_rate_mean,cache_hit_rate_stdev,mixed_prefill_chunk_size_mean,mixed_prefill_chunk_size_stdev
qwen3_8b_w8a8__prefill_off__short_prefill_128,3,160.0,0.0,19.06714098869408,0.06931297325074465,2440.5940465528424,8.872060576095315,19.06714098869408,0.06931297325074465,2459.661187541537,8.941373549345798,55.27836927663733,0.19043836844071654,55.267748916555014,0.19105796832534275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
qwen3_8b_w8a8__prefill_off__short_prefill_160,3,160.0,0.0,18.026193793607472,0.05107760381795384,2884.1910069771952,8.172416610872538,18.026193793607472,0.05107760381795384,2902.2172007708027,8.223494214690293,57.052503720078676,0.3539550183842316,57.0415384000186,0.35375217276581944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
qwen3_8b_w8a8__prefill_off__short_prefill_96,3,160.0,0.0,23.08284302453499,0.09969373837901926,2215.952930355359,9.5705988843856,23.08284302453499,0.09969373837901926,2239.035773379894,9.670292622764766,48.28672574668263,0.3523544437888875,48.27672860660032,0.35269297644864034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0
