name,count,total_ms,mean_us,category_time_pct
cudaEventSynchronize,4,25.215162,6303.7905,61.88500742431248
cudaGraphLaunch,113,5.001104999999998,44.2575663716814,12.274100005971253
cudaDeviceSynchronize,1,4.266356,4266.356,10.470821989355453
cudaLaunchKernel,323,2.485121,7.69387306501548,6.099176818111057
cudaMemcpyAsync,179,2.0735850000000005,11.584273743016762,5.089153229312705
cudaLaunchKernelExC,110,0.7546330000000001,6.860300000000001,1.8520788725303927
cudaMalloc,1,0.178905,178.905,0.43908253507340633
cudaFuncSetAttribute,108,0.15330900000000003,1.419527777777778,0.37626284547423977
cudaEventQuery,72,0.12297000000000005,1.7079166666666674,0.3018025171905582
cudaDeviceGetAttribute,241,0.09917999999999992,0.41153526970954324,0.2434152529475443
cudaStreamIsCapturing,119,0.09320400000000001,0.7832268907563026,0.22874848997502453
cudaEventRecordWithFlags,51,0.07081200000000003,1.3884705882352946,0.1737923058249801
cudaMemsetAsync,5,0.069232,13.8464,0.1699145472077475
cudaMemGetInfo,1,0.059072,59.072,0.144979086732379
cudaStreamWaitEvent,15,0.029893999999999997,1.9929333333333332,0.0733681747490814
cudaStreamSynchronize,15,0.0237,1.5799999999999998,0.05816637925848764
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,11,0.019367000000000002,1.7606363636363638,0.04753199439236836
cudaPointerGetAttributes,2,0.017472,8.736,0.042881138329295194
cudaEventRecord,5,0.00893,1.786,0.021916699020181205
cudaPeekAtLastError,44,0.0031780000000000007,0.07222727272727275,0.007799694231370201
