case,repetitions,completed_mean,completed_stdev,request_throughput_mean,request_throughput_stdev,input_throughput_mean,input_throughput_stdev,output_throughput_mean,output_throughput_stdev,total_throughput_mean,total_throughput_stdev,e2e_p99_ms_mean,e2e_p99_ms_stdev,ttft_p99_ms_mean,ttft_p99_ms_stdev,tpot_p99_ms_mean,tpot_p99_ms_stdev,itl_p99_ms_mean,itl_p99_ms_stdev,retraction_events_mean,retraction_events_stdev,retracted_requests_mean,retracted_requests_stdev,cache_hit_rate_mean,cache_hit_rate_stdev,mixed_prefill_chunk_size_mean,mixed_prefill_chunk_size_stdev
qwen3_8b_w8a8__prefill_on__short_prefill_128,3,160.0,0.0,36.3485461577011,0.3610942722392518,4652.613908185741,46.22006684662423,36.3485461577011,0.3610942722392518,4688.962454343441,46.58116111886368,28.049053956668406,0.22865787692644776,28.036390276568756,0.2241480256191962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
qwen3_8b_w8a8__prefill_on__short_prefill_160,3,160.0,0.0,24.401514730272748,0.13338385690635896,3904.2423568436393,21.341417105017428,24.401514730272748,0.13338385690635896,3928.6438715739127,21.47480096192404,42.101009033525166,0.19159228467655154,42.08971970020684,0.1907476129505784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
qwen3_8b_w8a8__prefill_on__short_prefill_96,3,160.0,0.0,36.36405899850846,0.23046100100627268,3490.9496638568125,22.124256096602295,36.36405899850846,0.23046100100627268,3527.3137228553205,22.354717097608546,28.184954236839985,0.16371708867306153,28.174588380043133,0.16378119520578618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
