case,repetitions,completed_mean,completed_stdev,request_throughput_mean,request_throughput_stdev,input_throughput_mean,input_throughput_stdev,output_throughput_mean,output_throughput_stdev,total_throughput_mean,total_throughput_stdev,e2e_p99_ms_mean,e2e_p99_ms_stdev,ttft_p99_ms_mean,ttft_p99_ms_stdev,tpot_p99_ms_mean,tpot_p99_ms_stdev,itl_p99_ms_mean,itl_p99_ms_stdev,retraction_events_mean,retraction_events_stdev,retracted_requests_mean,retracted_requests_stdev,cache_hit_rate_mean,cache_hit_rate_stdev,mixed_prefill_chunk_size_mean,mixed_prefill_chunk_size_stdev
qwen3_8b_w8a8__prefill_off__short_decode_128,3,80.0,0.0,1.7252989330048278,0.0009186297111152235,220.83826342461796,0.1175846030227486,55.20956585615449,0.02939615075568715,276.0478292807725,0.1469807537784446,580.6848076234019,0.5319036215591945,46.66398658990147,0.26974052460628717,17.825918301938554,0.01625259529938342,18.63424808319299,0.04636978667558755,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
qwen3_8b_w8a8__prefill_off__short_decode_160,3,80.0,0.0,1.6981307562498476,0.0003806922026587131,271.7009209999756,0.06091075242539588,54.34018419999512,0.012182150485078818,326.0411051999707,0.07309290291049159,590.874801886251,0.20995864796366845,56.36883556392301,0.7541998193274928,17.833536189885905,0.006888066332096379,18.672496847102593,0.02189983286342385,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
qwen3_8b_w8a8__prefill_off__short_decode_96,3,80.0,0.0,1.737465749197151,0.0014887811088296476,166.7967119229265,0.14292298644764945,55.59890397430883,0.04764099548254872,222.39561589723533,0.1905639819301949,577.2761247061317,0.42709155358888856,44.989907917291326,0.21171322033981324,17.759220189782745,0.009244892627359228,18.51376714672369,0.01692352401930176,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
