case,repetitions,completed_mean,completed_stdev,request_throughput_mean,request_throughput_stdev,input_throughput_mean,input_throughput_stdev,output_throughput_mean,output_throughput_stdev,total_throughput_mean,total_throughput_stdev,e2e_p99_ms_mean,e2e_p99_ms_stdev,ttft_p99_ms_mean,ttft_p99_ms_stdev,tpot_p99_ms_mean,tpot_p99_ms_stdev,itl_p99_ms_mean,itl_p99_ms_stdev,retraction_events_mean,retraction_events_stdev,retracted_requests_mean,retracted_requests_stdev,cache_hit_rate_mean,cache_hit_rate_stdev,mixed_prefill_chunk_size_mean,mixed_prefill_chunk_size_stdev
qwen3_8b_w8a8__prefill_off__short_prefill_128,3,160.0,0.0,22.64243341117179,0.12725703677610603,2898.231476629989,16.288900707341572,22.64243341117179,0.12725703677610603,2920.873910041161,16.41615774411778,44.99904168664367,0.18105434470622456,44.988695070055655,0.18136970428467492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
qwen3_8b_w8a8__prefill_off__short_prefill_160,3,160.0,0.0,18.366782632662403,0.042224010646689444,2938.685221225984,6.755841703470414,18.366782632662403,0.042224010646689444,2957.052003858647,6.798065714116956,55.35700639004517,0.06499469174683506,55.30181018999883,0.013995353031388753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
qwen3_8b_w8a8__prefill_off__short_prefill_96,3,160.0,0.0,23.619569105125084,0.18215386783131252,2267.4786340920086,17.48677131180583,23.619569105125084,0.18215386783131252,2291.098203197134,17.66892517963739,43.081140556570666,0.4637470553385595,43.06851825997607,0.46333952747773316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0
