case,repetitions,completed_mean,completed_stdev,request_throughput_mean,request_throughput_stdev,input_throughput_mean,input_throughput_stdev,output_throughput_mean,output_throughput_stdev,total_throughput_mean,total_throughput_stdev,e2e_p99_ms_mean,e2e_p99_ms_stdev,ttft_p99_ms_mean,ttft_p99_ms_stdev,tpot_p99_ms_mean,tpot_p99_ms_stdev,itl_p99_ms_mean,itl_p99_ms_stdev,retraction_events_mean,retraction_events_stdev,retracted_requests_mean,retracted_requests_stdev,cache_hit_rate_mean,cache_hit_rate_stdev,mixed_prefill_chunk_size_mean,mixed_prefill_chunk_size_stdev
qwen3_8b_w8a8__w8a8_fused__agent_prefix_4k,3,160.0,0.0,2.8192125646342507,0.0013070065633241177,12888.752662445166,5.975315424668717,360.8592082731841,0.16729684010548707,13249.611870718349,6.142612264773969,9872.025182053352,5.403686856945353,4095.7171178340395,5.989201171864654,64.10317132310698,0.03451447338969049,38.1478432532458,0.12770602700211492,0.0,0.0,0.0,0.0,0.8759999999999999,0.0,1376.8022475378964,20.752669403224242
qwen3_8b_w8a8__w8a8_fused__decode_1k_512,3,160.0,0.0,1.0123991451352565,0.001978759491304623,1036.6967246185027,2.026249719095934,518.3483623092513,1.013124859547967,1555.045086927754,3.0393745786439323,15952.709599469466,0.9095699554135951,7990.980822066537,27.854832424838936,30.570684468690047,0.01643956181041939,27.17224364086481,0.011955429325276818,0.0,0.0,0.0,0.0,0.0,0.0,1937.7568718544328,18.6010956550278
qwen3_8b_w8a8__w8a8_fused__prefill_8k_64,3,80.0,0.0,0.5268347823885696,0.0002189386781029507,4315.830537327162,1.7935456510193721,33.717426072868456,0.014012075398588845,4349.54796340003,1.8075577264180773,26866.087129135605,26.332853554421927,17339.339665162363,20.6594591178313,185.54919160481532,0.2738234500490682,2887.3399862194133,44.3410008001382,0.0,0.0,0.0,0.0,0.0,0.0,2010.2965382630018,0.07575906189058526
